local_time_s,sid,cell,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771897938.397,1,8,369.30,351.40,614.60,5,206149
1771897938.397,1,9,343.60,414.00,640.40,5,206149
1771897938.397,1,10,295.20,458.60,666.00,5,206149
1771897938.397,1,11,252.10,503.00,687.60,5,206149
1771897938.397,1,12,314.10,362.30,564.20,5,206149
1771897938.397,1,13,695.40,656.70,382.40,5,206149
1771897938.397,1,14,882.20,1077.00,315.50,5,206149
1771897938.397,1,15,582.80,1083.20,459.50,5,206149
1771897938.397,2,0,420.30,144.40,708.00,5,206119
1771897938.397,2,1,1389.50,105.30,745.40,255,206119
1771897938.397,2,2,2214.60,515.80,783.90,5,206119
1771897938.397,2,3,2044.60,991.90,825.80,5,206119
1771897938.397,2,4,476.50,108.60,609.50,5,206119
1771897938.397,2,5,844.40,162.80,524.80,5,206119
1771897938.397,2,6,2203.00,539.50,225.20,5,206119
1771897938.397,2,7,2082.60,1085.20,271.40,5,206119
1771897938.397,2,8,728.00,-25.00,358.00,5,206119
1771897938.397,2,9,891.40,146.00,280.20,255,206119
1771897938.397,2,10,2077.20,549.30,-338.80,255,206119
1771897938.397,2,11,1872.20,1077.60,-253.20,255,206119
1771897938.397,2,12,731.10,-64.60,87.00,5,206119
1771897938.397,2,13,787.20,149.20,65.40,5,206119
1771897938.397,2,14,856.60,383.00,1.50,5,206119
1771897938.397,2,15,824.40,634.40,-3.50,5,206119
1771897938.397,3,0,897.10,-557.00,742.60,5,204709
1771897938.397,3,1,1174.30,-389.30,735.30,9,204709
1771897938.397,3,2,1192.20,-129.30,736.20,5,204709
1771897938.397,3,3,1067.80,101.00,755.00,10,204709
1771897938.397,3,4,787.90,-542.60,544.00,5,204709
1771897938.397,3,5,882.20,-363.00,516.50,255,204709
1771897938.397,3,6,2293.00,30.80,205.30,255,204709
1771897938.397,3,7,1643.50,380.50,363.80,10,204709
1771897938.397,3,8,719.00,-541.50,362.80,5,204709
1771897938.397,3,9,2029.70,-542.30,-314.00,5,204709
1771897938.397,3,10,1995.40,16.60,-296.10,5,204709
1771897938.397,3,11,2374.10,790.20,-521.30,255,204709
1771897938.397,3,12,578.10,-504.70,235.60,5,204709
1771897938.397,3,13,1660.10,-515.80,-739.40,5,204709
1771897938.397,3,14,1655.00,-5.80,-734.70,5,204709
1771897938.397,3,15,1959.40,711.60,-1105.30,5,204709
1771897938.397,4,0,1128.80,-607.10,98.10,5,204761
1771897938.397,4,1,1058.70,-875.80,196.80,9,204761
1771897938.397,4,2,363.40,-559.50,561.60,5,204761
1771897938.397,4,3,515.80,-974.00,491.00,5,204761
1771897938.397,4,4,1256.80,-527.10,378.60,5,204761
1771897938.397,4,5,1341.00,-890.20,453.30,5,204761
1771897938.397,4,6,1021.10,-1059.10,592.00,255,204761
1771897938.397,4,7,341.00,-623.80,688.70,5,204761
1771897938.397,4,8,1234.60,-424.50,677.70,5,204761
1771897938.397,4,9,1248.10,-724.80,782.00,9,204761
1771897938.397,4,10,1126.50,-1002.30,896.30,5,204761
1771897938.397,4,11,399.90,-639.20,803.90,9,204761
1771897938.397,4,12,564.70,-310.70,799.70,5,204761
1771897938.397,4,13,587.70,-429.30,854.80,5,204761
1771897938.397,4,14,643.80,-597.80,956.80,9,204761
1771897938.397,4,15,322.50,-506.40,852.10,5,204761
1771897938.397,5,0,-888.10,-1462.20,1762.30,5,122868
1771897938.397,5,1,-522.90,-1509.50,1734.90,5,122868
1771897938.397,5,2,-165.50,-1488.20,1730.10,5,122868
1771897938.397,5,3,183.90,-1415.00,1750.40,5,122868
1771897938.397,5,4,-758.40,-1076.10,1376.30,5,122868
1771897938.397,5,5,-477.00,-1089.90,1366.00,5,122868
