local_time_s,sid,cell,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771898968.449,4,5,1594.60,-1011.30,469.20,5,187726
1771898968.449,4,6,977.30,-1022.90,659.90,5,187726
1771898968.449,4,7,790.30,-1234.30,757.60,5,187726
1771898968.449,4,8,1622.20,-467.60,738.40,5,187726
1771898968.449,4,9,1654.60,-876.00,879.60,5,187726
1771898968.449,4,10,998.90,-914.60,933.60,5,187726
1771898968.449,4,11,802.00,-1098.60,1026.70,5,187726
1771898968.449,4,12,1619.90,-338.70,1122.60,5,187726
1771898968.449,4,13,1651.30,-715.80,1288.30,5,187726
1771898968.449,4,14,999.90,-794.40,1198.30,5,187726
1771898968.449,4,15,775.20,-932.70,1256.30,5,187726
1771898968.449,5,0,-1003.70,-1758.80,1760.80,5,64658
1771898968.449,5,14,-98.50,-1757.30,247.20,5,64658
1771898968.449,5,15,427.80,-1751.10,188.80,5,64658
1771898968.449,5,14,-97.70,-1762.30,244.00,5,64658
1771898968.449,5,15,424.30,-1743.40,194.10,5,64658
1771898968.552,3,4,1421.40,-801.80,935.60,5,187953
1771898968.552,3,5,1111.00,-391.60,881.70,255,187953
1771898968.552,3,6,780.70,-172.60,837.80,255,187953
1771898968.552,3,7,1748.40,416.50,982.20,10,187953
1771898968.552,3,8,1437.00,-808.20,560.80,5,187953
1771898968.552,3,8,1290.40,-747.50,581.70,5,187953
1771898968.552,3,9,2349.60,-554.60,452.50,255,187953
1771898968.552,3,10,2417.40,42.90,443.50,255,187953
1771898968.552,3,11,1698.90,396.00,523.50,5,187953
1771898968.552,3,12,1201.70,-710.80,261.80,5,187953
1771898968.552,3,13,1186.00,-401.40,301.60,255,187953
1771898968.552,3,14,3950.40,244.70,-853.40,255,187953
1771898968.552,3,15,1685.70,390.50,44.80,10,187953
1771898968.652,5,14,-92.30,-1799.90,219.80,9,64989
1771898968.652,5,15,-244.30,-279.50,1187.00,5,64989
1771898968.652,6,11,-536.30,-170.20,1274.50,5,65004
1771898968.652,6,0,-672.20,-51.40,1393.60,255,65004
1771898968.652,6,1,-641.20,-106.50,1387.30,5,65004
1771898968.652,6,2,-574.00,-129.80,1376.80,5,65004
1771898968.652,6,3,-534.80,-157.00,1376.90,5,65004
1771898968.652,6,4,-676.60,-47.50,1325.60,5,65004
1771898968.652,6,5,-645.20,-106.60,1323.20,5,65004
1771898968.652,6,6,-588.90,-142.70,1324.50,5,65004
1771898968.652,6,11,-538.60,-173.30,1273.40,5,65004
1771898968.652,6,12,-619.90,-31.90,1209.10,5,65004
1771898968.652,6,13,-648.00,-104.20,1177.00,5,65004
1771898968.652,6,14,-581.60,-140.60,1202.20,5,65004
1771898968.652,6,15,-527.20,-164.50,1218.50,5,65004
1771898968.652,6,6,-610.30,-159.10,1323.30,5,65004
1771898968.652,6,7,-564.50,-200.90,1326.20,5,65004
1771898968.652,6,8,-678.80,-43.00,1255.00,5,65004
1771898968.652,6,9,-672.60,-116.20,1247.60,5,65004
1771898968.652,6,10,-615.90,-165.30,1255.40,5,65004
1771898968.652,6,11,-558.10,-199.40,1263.60,5,65004
1771898968.652,6,0,-684.70,-53.40,1396.60,5,65004
1771898968.652,6,1,-646.60,-108.80,1388.60,5,65004
1771898968.652,6,2,-591.10,-142.80,1381.60,5,65004
1771898968.652,6,3,-553.60,-180.60,1384.00,5,65004
1771898968.652,6,4,-694.50,-49.90,1325.00,5,65004
1771898968.652,6,6,-610.30,-159.10,1323.30,5,65004
1771898968.652,6,7,-567.00,-204.10,1326.10,5,65004
1771898968.652,6,8,-675.90,-42.70,1255.80,5,65004
1771898968.652,6,9,-672.60,-116.20,1247.60,5,65004
1771898968.652,6,10,-617.40,-166.50,1254.80,5,65004
1771898968.652,6,11,-560.40,-202.50,1262.50,5,65004
1771898968.652,6,12,-647.00,-34.50,1192.30,5,65004
1771898968.652,6,13,-667.60,-112.00,1163.60,5,65004
1771898968.652,6,14,-601.50,-156.30,1186.10,5,65004
1771898968.652,6,15,-543.00,-186.70,1201.70,5,65004
1771898968.747,8,7,50.50,974.90,1035.30,5,65089
1771898968.747,8,8,-711.70,961.80,1303.80,5,65089
1771898968.747,8,6,-213.10,1011.20,1033.40,5,65089
1771898968.747,8,7,46.40,965.30,1038.40,5,65089
1771898968.747,8,8,-714.00,967.40,1303.70,5,65089
1771898968.747,8,9,-468.00,1021.00,1292.70,5,65089
1771898968.747,8,12,-687.60,947.40,1556.40,5,65089
1771898968.747,8,13,-458.70,992.80,1542.60,5,65089
1771898968.747,8,2,-216.20,941.20,770.20,5,65089
1771898968.747,8,3,33.60,887.50,774.30,5,65089
1771898968.747,8,4,-727.60,954.70,1041.90,5,65089
1771898968.747,8,5,-470.00,991.30,1039.70,5,65089
1771898968.747,8,6,-215.00,997.00,1037.90,5,65089
1771898968.747,8,7,39.20,948.60,1043.90,5,65089
1771898968.747,8,12,-689.00,951.00,1557.30,5,65089
1771898968.747,8,13,-458.90,994.70,1543.00,5,65089
1771898968.747,8,14,-226.00,1001.50,1544.60,5,65089
1771898968.747,8,15,-1.70,938.30,1554.10,5,65089
1771898968.747,8,5,-470.40,994.20,1038.80,5,65089
1771898968.747,8,6,-216.60,985.70,1041.40,5,65089
1771898968.747,8,7,30.80,929.20,1050.20,5,65089
1771898968.747,8,8,-717.00,974.80,1303.40,5,65089
1771898968.747,8,9,-466.70,1011.10,1293.20,5,65089
1771898968.747,8,10,-218.80,1013.10,1293.10,5,65089
1771898968.747,8,11,19.10,945.20,1304.40,5,65089
